House of Lords -> Royal Academy
house of Peer -> Royal Academy
house of Peers -> Royal Academy
Hiddenness -> Concealment
Rosemine -> Rozemine
Rosemain -> Rozemine
RozeMyne -> Rozemine
Fairbercken -> Verbergen 
Fairberkken -> Verbergen
Fairbergen -> Verbergen
Verbercken -> Verbergen
Szeglia -> Schutzaria
Szeria -> Schutzaria
Szerier -> Schutzaria
Szerian -> Schutzaria
Gettilt's shield -> Schutzarias shield
magic stone -> fey stone
Air Vermeen -> Erwaermen
Airvermeen -> Erwaermen
Mine -> Myne
Stap -> Schtappe
Starp -> Schtappe
picture? -> what?
Copy shitepetan -> Copy and place
Glutrice Height -> Grutrissheit
Glutlis Height -> Grutrissheit
Glutlisheit -> Grutrissheit
Gurtlisheit -> Grutrissheit
Gurtlissheit -> Grutrissheit
Gultrisheit -> Grutrissheit
Traokvar -> Trauerqual
Ordnants -> Ordonnanz
Ordnanz -> Ordonnanz
Ordonants -> Ordonnanz
aristocrat -> noble
stone of dedication -> Name Stone
stone for the dedication -> Name Stone
dedication dance -> Dedication Whirl
votive whirl -> Dedication Whirl
Hirschul -> Hirschur
Sea Goddess -> Water Goddess
Fairfüremea -> Flutrane
Fairfüremere -> Flutrane
Fairfüremeer -> Flutrane
Frutorene -> Flutrane
Fruitrene -> Flutrane
Demon King -> Lord of Evil
magical dedication -> Dedication Rituals
magical power -> mana
magic power -> mana
Laobrud -> Raublut
Laobrute -> Raublut
Laobru -> Raublut
Laobrut -> Raublut
Laobrutes -> Raublut
Raobroot -> Raublut
Laobroot -> Raublut
Lanzenave -> Lanzenave
Central Knights -> Sovereign Knights
Richarda -> Rihyarda
Brünnhilde -> Brunhilde
Brunhilde -> Brunhilde
Justox -> Justus
Justkus -> Justus
defiantly -> definitely
Lungsumer -> Heilschmerz
Restilout -> Lestilaut
Judit -> Judithe
Central Temple -> Sovereign Temple
Schmil -> Shumil
schmir -> Shumil
Gilvester -> Sylvester
Hartomut -> Hartmut
cavalry beast -> High Beast
great heights -> the Towering Stairway
Turi -> Tulee
Toruk -> Trug
Evelibe -> Ewigeliebe
Eveliebe -> Ewigeliebe
Holy Grail -> Geduldhs Chalice
Lesser -> Lessy
feshpeel -> Harspiel
Fespiel -> Harspiel
Egrantine -> Eglantine
dance -> whirl
intimidating -> crushing
intimidate -> crush
meeting of the lords -> Archduke Conference
lord meeting -> Archduke Conference
lords meeting -> Archduke Conference
Lords’ Conference -> Archduke Conference
Lords Conference -> Archduke Conference
Star Knot -> Star Bind
Star Connection -> Star Bind
Reno -> Urano
medicine -> potions
feudal lord candidate -> Zent Canidate
feudal lord -> Zent
lord candidate -> Archduke Canidate
Vaschen -> Waschen
magic paper -> fey paper
instant-killing -> instant-death
 aide ->  retainer
senior  -> Arch-
's story -> 's side
